"","Av.zone","Num.datasets","Bid.ratio","mean_total_cost","mean_instance_cost","mean_storage_cost","mean_xfer_cost","mean_total_time","mean_run_time","mean_wait_time","mean_upl_time","mean_dl_time","mean_interrupts","Region"
"12","ap-northeast-1a",100,2,53.1835287671233,19.25,1.41928767123288,32.2,1650.36851851852,66,5.51666666666667,41.7185185185185,1570.13333333333,0,"Asia Pacific"
"13","ap-northeast-1a",100,2.5,53.2384383561644,19.29,1.41928767123288,32.2,1646.48518518518,66,1.63333333333333,41.7185185185185,1570.13333333333,0,"Asia Pacific"
"14","ap-northeast-1a",100,3,53.2412876712329,19.304,1.41928767123288,32.2,1644.85185185185,66,0,41.7185185185185,1570.13333333333,0,"Asia Pacific"
"15","ap-northeast-1a",100,3.5,53.2456876712329,19.31,1.41928767123288,32.2,1644.85185185185,66,0,41.7185185185185,1570.13333333333,0,"Asia Pacific"
"16","ap-northeast-1a",100,4,53.2456876712329,19.31,1.41928767123288,32.2,1644.85185185185,66,0,41.7185185185185,1570.13333333333,0,"Asia Pacific"
"17","ap-northeast-1a",100,4.5,71.2672876712329,37.648,1.41928767123288,32.2,1644.85185185185,66,0,41.7185185185185,1570.13333333333,0,"Asia Pacific"
"18","ap-northeast-1a",100,5,71.2672876712329,37.648,1.41928767123288,32.2,1644.85185185185,66,0,41.7185185185185,1570.13333333333,0,"Asia Pacific"
"19","ap-northeast-1a",200,1,96.1734794520548,26.332,4.99019178082192,64.4,3398.32037037037,135.483333333333,141.616666666667,83.437037037037,3140.26666666667,1,"Asia Pacific"
"20","ap-northeast-1a",200,1.5,97.7876164383562,28.068,4.90783561643836,64.4,3329.53703703704,132,72.8333333333333,83.437037037037,3140.26666666667,0,"Asia Pacific"
"21","ap-northeast-1a",200,2,99.586,29.9488,4.90783561643836,64.4,3306.57037037037,132.3,49.8666666666667,83.437037037037,3140.26666666667,1,"Asia Pacific"
"22","ap-northeast-1a",200,2.5,100.083794520548,30.701,4.82547945205479,64.4,3285.1037037037,132,28.4,83.437037037037,3140.26666666667,0,"Asia Pacific"
"23","ap-northeast-1a",200,3,100.089479452055,30.741,4.82547945205479,64.4,3278.94537037037,132,22.2416666666667,83.437037037037,3140.26666666667,0,"Asia Pacific"
"24","ap-northeast-1a",200,3.5,100.178679452055,30.9532,4.82547945205479,64.4,3277.49537037037,132,20.7916666666667,83.437037037037,3140.26666666667,0,"Asia Pacific"
"25","ap-northeast-1a",200,4,100.178679452055,30.9532,4.82547945205479,64.4,3277.49537037037,132,20.7916666666667,83.437037037037,3140.26666666667,0,"Asia Pacific"
"26","ap-northeast-1a",200,4.5,132.859479452055,63.614,4.82547945205479,64.4,3256.7037037037,132,0,83.437037037037,3140.26666666667,0,"Asia Pacific"
"27","ap-northeast-1a",200,5,132.806109589041,63.574,4.82547945205479,64.4,3256.7037037037,132,0,83.437037037037,3140.26666666667,0,"Asia Pacific"
"28","ap-northeast-1a",500,1,237.565890410959,45.894,28.4806849315069,161,8400.09259259259,314.583333333333,307.833333333333,208.592592592593,7850.66666666666,2,"Asia Pacific"
"29","ap-northeast-1a",500,1.5,241.46895890411,50.99,28.1823287671233,161,8305.90925925926,311.741666666667,213.65,208.592592592593,7850.66666666666,2,"Asia Pacific"
"30","ap-northeast-1a",500,2,246.360191780822,53.622,27.9838356164384,161,8272.01759259259,305.05,179.758333333333,208.592592592593,7850.66666666666,2,"Asia Pacific"
"31","ap-northeast-1a",500,2.5,246.476547945205,53.602,27.8852054794521,161,8227.37592592593,303.983333333333,135.116666666667,208.592592592593,7850.66666666666,1,"Asia Pacific"
