,av_zone,bid_ratio,num_datasets,mean_instance_cost,mean_num_interr,mean_pernode_cost,mean_run_time,mean_total_cost,mean_total_time,mean_wait_time,down_rate,in_gb,instance_type,jobs_per,out_gb,out_gb_dl,price_hr,proc_time,product,s3_dl_time,s3_req_cost,s3_storage_cost,s3_total_cost,s3_upl_time,s3_xfer_cost,static_ebs_storage_cost,static_instance_cost,static_run_time,static_total_cost,static_total_time,static_wait_time,up_rate,xfer_up_time,median_instance_cost,median_num_interr,median_pernode_cost,median_run_time,median_total_cost,median_total_time,median_wait_time,time_ratio,cost_ratio,on_demand_price_hr,on_demand_instance_cost,on_demand_total_cost
40,ap-northeast-1a,3.0,1000,652.462716182,0.543122404105,32.5039927193,33958.6670739,1004.22968662,1132495.26315,2070.81871488,20,0.055,c3.8xlarge,3,2.3,2.3,3.52808110111,1980,Linux/UNIX,920000,0.0185,26.5707762557,348.589276256,184000,322.0,3.14909589041,707.976220222,33660,1059.71459237,1130424.44444,0,18,24444.4444444,410.98,0,20.431,33660.0,762.718372146,1130424.44444,0.0,0.99817145486,1.05525121044,2.043,410.96,762.698372146
41,ap-northeast-1a,3.5,1000,652.462716182,0.543122404105,32.5039927193,33958.6670739,1004.22968662,1132495.26315,2070.81871488,20,0.055,c3.8xlarge,3,2.3,2.3,3.52808110111,1980,Linux/UNIX,920000,0.0185,26.5707762557,348.589276256,184000,322.0,3.14909589041,707.976220222,33660,1059.71459237,1130424.44444,0,18,24444.4444444,410.98,0,20.431,33660.0,762.718372146,1130424.44444,0.0,0.99817145486,1.05525121044,2.043,410.96,762.698372146
42,ap-northeast-1a,4.0,1000,652.462716182,0.543122404105,32.5039927193,33958.6670739,1004.22968662,1132495.26315,2070.81871488,20,0.055,c3.8xlarge,3,2.3,2.3,3.52808110111,1980,Linux/UNIX,920000,0.0185,26.5707762557,348.589276256,184000,322.0,3.14909589041,707.976220222,33660,1059.71459237,1130424.44444,0,18,24444.4444444,410.98,0,20.431,33660.0,762.718372146,1130424.44444,0.0,0.99817145486,1.05525121044,2.043,410.96,762.698372146
43,ap-northeast-1a,4.5,1000,709.782620863,0.0,35.3711310432,33660.0,1061.52099301,1130424.44444,0.0,20,0.055,c3.8xlarge,3,2.3,2.3,3.52808110111,1980,Linux/UNIX,920000,0.0185,26.5707762557,348.589276256,184000,322.0,3.14909589041,707.976220222,33660,1059.71459237,1130424.44444,0,18,24444.4444444,410.98,0,20.431,33660.0,762.718372146,1130424.44444,0.0,1.0,0.998298290235,2.043,410.96,762.698372146
44,ap-northeast-1a,5.0,1000,709.782620863,0.0,35.3711310432,33660.0,1061.52099301,1130424.44444,0.0,20,0.055,c3.8xlarge,3,2.3,2.3,3.52808110111,1980,Linux/UNIX,920000,0.0185,26.5707762557,348.589276256,184000,322.0,3.14909589041,707.976220222,33660,1059.71459237,1130424.44444,0,18,24444.4444444,410.98,0,20.431,33660.0,762.718372146,1130424.44444,0.0,1.0,0.998298290235,2.043,410.96,762.698372146
45,ap-northeast-1a,1.0,2000,619.978081806,2.22365521182,30.7359998376,68757.986695,1378.22551277,2311089.46925,52220.5803608,20,0.055,c3.8xlarge,3,2.3,2.3,3.52808110111,1980,Linux/UNIX,1840000,0.037,106.283105023,750.320105023,368000,644.0,7.22071232877,1345.35081842,67320,2102.89163577,2258868.88889,0,18,48888.8888889,725.998,0,35.9219,67320.0,1486.7563516,2258868.88889,0.0,0.977404344983,1.52579647981,2.043,781.02,1538.56081735
46,ap-northeast-1a,1.5,2000,620.205770647,2.21859440046,30.7473873814,68756.8162599,1378.45309049,2311080.46035,52211.5714636,20,0.055,c3.8xlarge,3,2.3,2.3,3.52808110111,1980,Linux/UNIX,1840000,0.037,106.283105023,750.320105023,368000,644.0,7.22071232877,1345.35081842,67320,2102.89163577,2258868.88889,0,18,48888.8888889,726.038,0,35.9219,67320.0,1486.84205023,2258868.88889,0.0,0.977408155036,1.52554457622,2.043,781.02,1538.56081735
47,ap-northeast-1a,2.0,2000,620.455600049,2.20471798221,30.7598788515,68750.1710881,1378.70260591,2311076.90489,52208.0159987,20,0.055,c3.8xlarge,3,2.3,2.3,3.52808110111,1980,Linux/UNIX,1840000,0.037,106.283105023,750.320105023,368000,644.0,7.22071232877,1345.35081842,67320,2102.89163577,2258868.88889,0,18,48888.8888889,726.038,0,35.9219,67320.0,1486.84205023,2258868.88889,0.0,0.977409658723,1.52526848557,2.043,781.02,1538.56081735
48,ap-northeast-1a,2.5,2000,620.627759873,2.19533099339,30.7684881487,68738.4392295,1378.8743575,2311072.71315,52203.8242592,20,0.055,c3.8xlarge,3,2.3,2.3,3.52808110111,1980,Linux/UNIX,1840000,0.037,106.283105023,750.320105023,368000,644.0,7.22071232877,1345.35081842,67320,2102.89163577,2258868.88889,0,18,48888.8888889,725.958,0,35.9219,67320.0,1486.67065297,2258868.88889,0.0,0.977411431513,1.52507849924,2.043,781.02,1538.56081735
49,ap-northeast-1a,3.0,2000,1240.16384367,0.835278752755,61.7722800131,67792.3657661,1997.76246583,2262346.85134,3477.96245204,20,0.055,c3.8xlarge,3,2.3,2.3,3.52808110111,1980,Linux/UNIX,1840000,0.037,106.283105023,750.320105023,368000,644.0,7.22071232877,1345.35081842,67320,2102.89163577,2258868.88889,0,18,48888.8888889,781.058,0,38.8189,67320.0,1538.59881735,2258868.88889,0.0,0.998462674966,1.05262345836,2.043,781.02,1538.56081735
50,ap-northeast-1a,3.5,2000,1240.16384367,0.835278752755,61.7722800131,67792.3657661,1997.76246583,2262346.85134,3477.96245204,20,0.055,c3.8xlarge,3,2.3,2.3,3.52808110111,1980,Linux/UNIX,1840000,0.037,106.283105023,750.320105023,368000,644.0,7.22071232877,1345.35081842,67320,2102.89163577,2258868.88889,0,18,48888.8888889,781.058,0,38.8189,67320.0,1538.59881735,2258868.88889,0.0,0.998462674966,1.05262345836,2.043,781.02,1538.56081735
