,av_zone,down_rate,in_gb,instance_type,jobs_per,num_datasets,out_gb,out_gb_dl,on_demand_price_hr,proc_time,product,s3_dl_time,s3_req_cost,s3_storage_cost,s3_total_cost,s3_upl_time,s3_xfer_cost,static_ebs_storage_cost,on_demand_instance_cost,static_run_time,on_demand_total_cost,static_total_time,static_wait_time,up_rate,xfer_up_time
79,eu-west-1b,20,0.0071,c3.8xlarge,4,10000,0.097,0.097,1.912,23940.0,Linux/UNIX,388000.0,0.2,4.29634703196,91.796347032,77600.0,87.3,89.0046405479,31839.228,2992500.0,32020.0289876,3412676.35556,0,18,31555.5555556
80,eu-west-1c,20,0.0071,c3.8xlarge,4,50,0.097,0.097,1.912,23940.0,Linux/UNIX,1940.0,0.001,0.000107408675799,0.437607408676,388.0,0.4365,0.448708534247,174.188,23940.0,175.074315943,26425.7777778,0,18,157.777777778
81,eu-west-1c,20,0.0071,c3.8xlarge,4,100,0.097,0.097,1.912,23940.0,Linux/UNIX,3880.0,0.002,0.000429634703196,0.875429634703,776.0,0.873,1.34690931507,535.752,47880.0,537.97433895,52230.7555556,0,18,315.555555556
82,eu-west-1c,20,0.0071,c3.8xlarge,4,200,0.097,0.097,1.912,23940.0,Linux/UNIX,7760.0,0.004,0.00171853881279,1.75171853881,1552.0,1.746,1.93219972603,765.388,71820.0,769.071918265,80521.5111111,0,18,631.111111111
83,eu-west-1c,20,0.0071,c3.8xlarge,4,500,0.097,0.097,1.912,23940.0,Linux/UNIX,19400.0,0.01,0.0107408675799,4.38574086758,3880.0,4.365,4.54810520548,1798.624,167580.0,1807.55784607,188712.977778,0,18,1577.77777778
84,eu-west-1c,20,0.0071,c3.8xlarge,4,1000,0.097,0.097,1.912,23940.0,Linux/UNIX,38800.0,0.02,0.0429634703196,8.79296347032,7760.0,8.73,8.46060931507,3329.344,311220.0,3346.59757279,353485.955556,0,18,3155.55555556
85,eu-west-1c,20,0.0071,c3.8xlarge,4,2000,0.097,0.097,1.912,23940.0,Linux/UNIX,77600.0,0.04,0.171853881279,17.6718538813,15520.0,17.46,16.4218306849,6390.812,598500.0,6424.90568457,683031.911111,0,18,6311.11111111
86,eu-west-1c,20,0.0071,c3.8xlarge,4,5000,0.097,0.097,1.912,23940.0,Linux/UNIX,194000.0,0.1,1.07408675799,44.824086758,38800.0,43.65,42.5628032877,16034.432,1508220.0,16121.81889,1718308.17778,0,18,15777.7777778
87,eu-west-1c,20,0.0071,c3.8xlarge,4,10000,0.097,0.097,1.912,23940.0,Linux/UNIX,388000.0,0.2,4.29634703196,91.796347032,77600.0,87.3,89.0046405479,31839.228,2992500.0,32020.0289876,3412676.35556,0,18,31555.5555556
88,sa-east-1a,20,0.0071,c3.8xlarge,4,50,0.097,0.097,2.6,23940.0,Linux/UNIX,1940.0,0.0014,0.000146075799087,1.2140460758,388.0,1.2125,0.775042013699,236.978,23940.0,238.967088089,26425.7777778,0,18,157.777777778
89,sa-east-1a,20,0.0071,c3.8xlarge,4,100,0.097,0.097,2.6,23940.0,Linux/UNIX,3880.0,0.0028,0.000584303196347,2.4283843032,776.0,2.425,2.32647972603,728.756,47880.0,733.510864029,52230.7555556,0,18,315.555555556
90,sa-east-1a,20,0.0071,c3.8xlarge,4,200,0.097,0.097,2.6,23940.0,Linux/UNIX,7760.0,0.0056,0.00233721278539,4.85793721279,1552.0,4.85,3.33743589041,1041.134,71820.0,1049.3293731,80521.5111111,0,18,631.111111111
91,sa-east-1a,20,0.0071,c3.8xlarge,4,500,0.097,0.097,2.6,23940.0,Linux/UNIX,19400.0,0.014,0.0146075799087,12.1536075799,3880.0,12.125,7.85581808219,2446.592,167580.0,2466.60142566,188712.977778,0,18,1577.77777778
